SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
NAGREEKCAP.NS,Nagreeka Capital & Infrastructure Limited,EQ,18-Sep-07,5,1,INE245I01016,5
NAGREEKEXP.NS,Nagreeka Exports Limited,EQ,18-Jun-07,5,1,INE123B01028,5
NAHARCAP.NS,Nahar Capital and Financial Services Limited,EQ,11-Mar-08,5,1,INE049I01012,5
NAHARINDUS.NS,Nahar Industrial Enterprises Limited,EQ,15-Dec-05,10,1,INE289A01011,10
NAHARPOLY.NS,Nahar Poly Films Limited,EQ,23-Mar-07,5,1,INE308A01027,5
NAHARSPING.NS,Nahar Spinning Mills Limited,EQ,23-Mar-07,5,1,INE290A01027,5
NAM-INDIA.NS,Nippon Life India Asset Management Limited,EQ,6-Nov-17,10,1,INE298J01013,10
NARMADA.NS,Narmada Agrobase Limited,EQ,27-Oct-22,10,1,INE117Z01011,10
NATCOPHARM.NS,Natco Pharma Limited,EQ,27-Dec-95,2,1,INE987B01026,2
NATHBIOGEN.NS,Nath Bio-Genes (India) Limited,EQ,28-Jan-14,10,1,INE448G01010,10
NATIONALUM.NS,National Aluminium Company Limited,EQ,28-Apr-99,5,1,INE139A01034,5
NATNLSTEEL.NS,National Steel And Agro Industries Limited,BE,26-Sep-02,10,1,INE088B01015,10
NAUKRI.NS,Info Edge (India) Limited,EQ,21-Nov-06,10,1,INE663F01024,10
NAVA.NS,NAVA LIMITED,EQ,3-Apr-96,2,1,INE725A01022,2
NAVINFLUOR.NS,Navin Fluorine International Limited,EQ,1-Jun-07,2,1,INE048G01026,2
NAVKARCORP.NS,Navkar Corporation Limited,EQ,9-Sep-15,10,1,INE278M01019,10
NAVNETEDUL.NS,Navneet Education Limited,EQ,8-Feb-95,2,1,INE060A01024,2
NAZARA.NS,Nazara Technologies Limited,EQ,30-Mar-21,4,1,INE418L01021,4
NBCC.NS,NBCC (India) Limited,EQ,12-Apr-12,1,1,INE095N01031,1
NBIFIN.NS,N. B. I. Industrial Finance Company Limited,EQ,23-Nov-16,5,1,INE365I01020,5
NCC.NS,NCC Limited,EQ,14-Oct-03,2,1,INE868B01028,2
NCLIND.NS,NCL Industries Limited,EQ,3-Apr-07,10,1,INE732C01016,10
NDGL.NS,Naga Dhunseri Group Limited,EQ,29-Aug-16,10,1,INE756C01015,10
NDL.NS,Nandan Denim Limited,EQ,23-Mar-12,10,1,INE875G01030,10
NDRAUTO.NS,Ndr Auto Components Limited,EQ,30-Jul-20,10,1,INE07OG01012,10
NDTV.NS,New Delhi Television Limited,EQ,19-May-04,4,1,INE155G01029,4
NECCLTD.NS,North Eastern Carrying Corporation Limited,EQ,2-Mar-16,10,1,INE553C01016,10
NECLIFE.NS,Nectar Lifesciences Limited,EQ,18-Jul-05,1,1,INE023H01027,1
NELCAST.NS,Nelcast Limited,EQ,27-Jun-07,2,1,INE189I01024,2
NELCO.NS,NELCO Limited,EQ,28-May-03,10,1,INE045B01015,10
NEOGEN.NS,Neogen Chemicals Limited,EQ,8-May-19,10,1,INE136S01016,10
NESCO.NS,Nesco Limited,EQ,8-Apr-08,2,1,INE317F01035,2
NESTLEIND.NS,Nestle India Limited,EQ,8-Jan-10,10,1,INE239A01016,10
NETWORK18.NS,Network18 Media & Investments Limited,EQ,2-Feb-07,5,1,INE870H01013,5
NEULANDLAB.NS,Neuland Laboratories Limited,EQ,13-Oct-08,10,1,INE794A01010,10
NEWGEN.NS,Newgen Software Technologies Limited,EQ,29-Jan-18,10,1,INE619B01017,10
NEXTMEDIA.NS,Next Mediaworks Limited,EQ,4-Apr-01,10,1,INE747B01016,10
NFL.NS,National Fertilizers Limited,EQ,28-Dec-06,10,1,INE870D01012,10
NGIL.NS,Nakoda Group of Industries Limited,BE,20-Aug-21,10,1,INE236Y01012,10
NGLFINE.NS,NGL Fine-Chem Limited,EQ,8-Jul-22,5,1,INE887E01022,5
NH.NS,Narayana Hrudayalaya Ltd.,EQ,6-Jan-16,10,1,INE410P01011,10
NHPC.NS,NHPC Limited,EQ,1-Sep-09,10,1,INE848E01016,10
NIACL.NS,The New India Assurance Company Limited,EQ,13-Nov-17,5,1,INE470Y01017,5
NIBL.NS,NRB Industrial Bearings Limited,BE,9-Apr-13,2,1,INE047O01014,2
NIITLTD.NS,NIIT Limited,EQ,16-Aug-04,2,1,INE161A01038,2
NILAINFRA.NS,Nila Infrastructures Limited,EQ,21-May-15,1,1,INE937C01029,1
NILASPACES.NS,Nila Spaces Limited,EQ,28-Dec-18,1,1,INE00S901012,1
NILKAMAL.NS,Nilkamal Limited,EQ,1-Nov-95,10,1,INE310A01015,10
NINSYS.NS,NINtec Systems Limited,BE,21-Feb-23,10,1,INE395U01014,10
NIPPOBATRY.NS,Indo-National Limited,EQ,6-Oct-99,5,1,INE567A01028,5
NIRAJ.NS,Niraj Cement Structurals Limited,EQ,1-Oct-20,10,1,INE368I01016,10
NIRAJISPAT.NS,Niraj Ispat Industries Limited,BE,27-Oct-16,10,1,INE326T01011,10
NITCO.NS,Nitco Limited,EQ,21-Mar-06,10,1,INE858F01012,10
NITINSPIN.NS,Nitin Spinners Limited,EQ,2-Feb-06,10,1,INE229H01012,10
NITIRAJ.NS,Nitiraj Engineers Limited,EQ,22-Apr-21,10,1,INE439T01012,10
NKIND.NS,NK Industries Limited,EQ,7-Jul-95,10,1,INE542C01019,10
