,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SYMBOL1
1445,SBILIFE.NS,SBI Life Insurance Company Limited,EQ,3-Oct-17,10.0,1,INE123W01016,10,SBILIFE
1446,SBIN.NS,State Bank of India,EQ,1-Mar-95,1.0,1,INE062A01020,1,SBIN
1447,SCAPDVR.NS,Stampede Capital Limited,EQ,10-Oct-17,1.0,1,INE224E01036,1,SCAPDVR
1448,SCHAEFFLER.NS,Schaeffler India Limited,EQ,29-Nov-00,2.0,1,INE513A01022,2,SCHAEFFLER
1449,SCHAND.NS,S Chand And Company Limited,EQ,9-May-17,5.0,1,INE807K01035,5,SCHAND
1450,SCHNEIDER.NS,Schneider Electric Infrastructure Limited,EQ,20-Mar-12,2.0,1,INE839M01018,2,SCHNEIDER
1451,SCI.NS,Shipping Corporation Of India Limited,EQ,13-Aug-97,10.0,1,INE109A01011,10,SCI
1452,SCPL.NS,Sheetal Cool Products Limited,EQ,22-Nov-22,10.0,1,INE501Y01019,10,SCPL
1453,SDBL.NS,Som Distilleries & Breweries Limited,EQ,18-Mar-14,5.0,1,INE480C01020,5,SDBL
1454,SDBL-RE1.NS,Som Dist & Brew Ltd-RE,BE,26-Apr-23,5.0,1,INE480C20020,5,SDBL-RE1
1455,SEAMECLTD.NS,Seamec Limited,EQ,28-Jun-95,10.0,1,INE497B01018,10,SEAMECLTD
1456,SECURCRED.NS,SecUR Credentials Limited,EQ,17-Oct-22,10.0,1,INE195Y01010,10,SECURCRED
1457,SECURKLOUD.NS,SECUREKLOUD TECHNOLOGIES LIMITED,EQ,29-Jan-14,5.0,1,INE650K01021,5,SECURKLOUD
1458,SEJALLTD.NS,Sejal Glass Limited,BE,13-Dec-21,10.0,1,INE955I01044,10,SEJALLTD
1459,SELAN.NS,Selan Exploration Technology Limited,EQ,26-Sep-06,10.0,1,INE818A01017,10,SELAN
1460,SELMC.NS,SEL Manufacturing Company Limited,BE,26-Oct-21,10.0,1,INE105I01020,10,SELMC
1461,SEPC.NS,SEPC Limited,EQ,20-Feb-08,10.0,1,INE964H01014,10,SEPC
1462,SEPOWER.NS,S.E. Power Limited,EQ,27-Jul-12,10.0,1,INE735M01018,10,SEPOWER
1463,SEQUENT.NS,Sequent Scientific Limited,EQ,10-Mar-16,2.0,1,INE807F01027,2,SEQUENT
1464,SERVOTECH.NS,Servotech Power Systems Limited,BE,2-Sep-21,2.0,1,INE782X01025,2,SERVOTECH
1465,SESHAPAPER.NS,Seshasayee Paper and Boards Limited,EQ,29-Mar-95,2.0,1,INE630A01024,2,SESHAPAPER
1466,SETCO.NS,Setco Automotive Limited,BE,1-Jul-16,2.0,1,INE878E01021,2,SETCO
1467,SEYAIND.NS,Seya Industries Limited,EQ,11-Jul-19,10.0,1,INE573R01012,10,SEYAIND
1468,SFL.NS,Sheela Foam Limited,EQ,9-Dec-16,5.0,1,INE916U01025,5,SFL
1469,SGIL.NS,Synergy Green Industries Limited,EQ,28-Jul-21,10.0,1,INE00QT01015,10,SGIL
1470,SGL.NS,STL Global Limited,EQ,10-Apr-06,10.0,1,INE353H01010,10,SGL
1471,SHAHALLOYS.NS,Shah Alloys Limited,EQ,16-Jun-05,10.0,1,INE640C01011,10,SHAHALLOYS
1472,SHAILY.NS,Shaily Engineering Plastics Limited,EQ,4-Apr-22,10.0,1,INE151G01010,10,SHAILY
1473,SHAKTIPUMP.NS,Shakti Pumps (India) Limited,EQ,29-Jan-15,10.0,1,INE908D01010,10,SHAKTIPUMP
1474,SHALBY.NS,Shalby Limited,EQ,15-Dec-17,10.0,1,INE597J01018,10,SHALBY
1475,SHALPAINTS.NS,Shalimar Paints Limited,EQ,3-Mar-08,2.0,1,INE849C01026,2,SHALPAINTS
1476,SHANKARA.NS,Shankara Building Products Limited,EQ,5-Apr-17,10.0,1,INE274V01019,10,SHANKARA
1477,SHANTI.NS,Shanti Overseas (India) Limited,EQ,16-Sep-21,10.0,1,INE933X01016,10,SHANTI
1478,SHANTIGEAR.NS,Shanthi Gears Limited,EQ,17-Jan-96,1.0,1,INE631A01022,1,SHANTIGEAR
1479,SHARDACROP.NS,Sharda Cropchem Limited,EQ,23-Sep-14,10.0,1,INE221J01015,10,SHARDACROP
1480,SHARDAMOTR.NS,Sharda Motor Industries Limited,EQ,3-Sep-15,2.0,1,INE597I01028,2,SHARDAMOTR
1481,SHAREINDIA.NS,Share India Securities Limited,EQ,21-Sep-20,10.0,1,INE932X01018,10,SHAREINDIA
1482,SHEMAROO.NS,Shemaroo Entertainment Limited,EQ,1-Oct-14,10.0,1,INE363M01019,10,SHEMAROO
1483,SHILPAMED.NS,Shilpa Medicare Limited,EQ,3-Dec-09,1.0,1,INE790G01031,1,SHILPAMED
1484,SHIVALIK.NS,Shivalik Rasayan Limited,EQ,9-Dec-21,5.0,1,INE788J01021,5,SHIVALIK
1485,SHIVAMAUTO.NS,Shivam Autotech Limited,EQ,21-Nov-06,2.0,1,INE637H01024,2,SHIVAMAUTO
1486,SHIVAMILLS.NS,Shiva Mills Limited,EQ,26-Feb-18,10.0,1,INE644Y01017,10,SHIVAMILLS
1487,SHIVATEX.NS,Shiva Texyarn Limited,EQ,26-Dec-17,10.0,1,INE705C01020,10,SHIVATEX
1488,SHK.NS,S H Kelkar and Company Limited,EQ,16-Nov-15,10.0,1,INE500L01026,10,SHK
1489,SHOPERSTOP.NS,Shoppers Stop Limited,EQ,23-May-05,5.0,1,INE498B01024,5,SHOPERSTOP
1490,SHRADHA.NS,Shradha Infraprojects Limited,EQ,22-Oct-20,5.0,1,INE715Y01023,5,SHRADHA
1491,SHREDIGCEM.NS,Shree Digvijay Cement Co.Ltd,EQ,28-Jan-20,10.0,1,INE232A01011,10,SHREDIGCEM
1492,SHREECEM.NS,SHREE CEMENT LIMITED,EQ,26-Apr-95,10.0,1,INE070A01015,10,SHREECEM
1493,SHREEPUSHK.NS,Shree Pushkar Chemicals & Fertilisers Limited,EQ,10-Sep-15,10.0,1,INE712K01011,10,SHREEPUSHK
1494,SHREERAMA.NS,Shree Rama Multi-Tech Limited,EQ,13-Mar-00,5.0,1,INE879A01019,5,SHREERAMA
1495,SHRENIK.NS,Shrenik Limited,EQ,2-Aug-19,1.0,1,INE632X01030,1,SHRENIK
1496,SHREYANIND.NS,Shreyans Industries Limited,EQ,6-Nov-96,10.0,1,INE231C01019,10,SHREYANIND
1497,SHREYAS.NS,Shreyas Shipping & Logistics Limited,EQ,1-Mar-95,10.0,1,INE757B01015,10,SHREYAS
1498,SHRIPISTON.NS,Shriram Pistons & Rings Limited,BE,2-Jun-16,10.0,1,INE526E01018,10,SHRIPISTON
1499,SHRIRAMFIN.NS,Shriram Finance Limited,EQ,11-Dec-96,10.0,1,INE721A01013,10,SHRIRAMFIN
1500,SHRIRAMPPS.NS,Shriram Properties Limited,EQ,20-Dec-21,10.0,1,INE217L01019,10,SHRIRAMPPS
1501,SHYAMCENT.NS,Shyam Century Ferrous Limited,EQ,28-Jul-15,1.0,1,INE979R01011,1,SHYAMCENT
1502,SHYAMMETL.NS,Shyam Metalics and Energy Limited,EQ,24-Jun-21,10.0,1,INE810G01011,10,SHYAMMETL
1503,SHYAMTEL.NS,Shyam Telecom Limited,EQ,6-Nov-06,10.0,1,INE635A01023,10,SHYAMTEL
1504,SIEMENS.NS,Siemens Limited,EQ,6-Sep-95,2.0,1,INE003A01024,2,SIEMENS
1505,SIGACHI.NS,Sigachi Industries Limited,EQ,15-Nov-21,10.0,1,INE0D0K01014,10,SIGACHI
1506,SIGIND.NS,Signet Industries Limited,EQ,29-Aug-18,10.0,1,INE529F01035,10,SIGIND
1507,SIKKO.NS,Sikko Industries Limited,EQ,22-Oct-21,10.0,1,INE112X01017,10,SIKKO
1508,SIL.NS,Standard Industries Limited,BE,27-Jan-04,5.0,1,INE173A01025,5,SIL
1509,SILGO.NS,Silgo Retail Limited,EQ,3-Mar-21,10.0,1,INE01II01013,10,SILGO
