Ticker,Name,Exchange,Category
KNRCON.NS,KNR Constructions Limited,NSI,General Contractors
KNRCON.BO,KNR Constructions Limited.,BSE,
KNIWE.BO,KNITWORTH EXPORTS LTD.,BSE,
KLKELEC.BO,KLK Electrical Ltd,BSE,
KITEX.NS,Kitex Garments Limited,NSI,Textile - Apparel Clothing
KIRLPNU.BO,Kirloskar Pneumatic Company Ltd,BSE,
KIRLOSENG.NS,Kirloskar Oil Engines Limited,NSI,Diversified Machinery
KIRANSY-B.BO,KIRAN SYNTEX LTD.,BSE,
KILPEST.BO,Kilpest India Ltd.,BSE,
KILBURN.BO,Kilburn Office Automation Ltd.,BSE,
KHODAY.BO,Khoday India Limited,BSE,
KBIL.NS,Kirloskar Brothers Investments Ltd.,NSI,
KHANDSE.BO,Khandwala Securities Limited,BSE,
KHAITANLTD.BO,Khaitan (India) Ltd.,BSE,
KGL.NS,Karuturi Global Limited,NSI,Farm Products
KESARENT.NS,Kesar Enterprises Limited,NSI,
KENNAMET.BO,Kennametal India Limited,BSE,
KENGI.BO,KENGOLD (INDIA) LTD.,BSE,
KEMP.BO,Kemp & Co. Ltd,BSE,
KEC.NS,KEC International Limited,NSI,Diversified Utilities
KDDL.BO,KDDL Limited,BSE,
KCPSUGIND.NS,K.C.P. Sugar and Industries Corporation Limited,NSI,Confectioners
KCP.BO,The KCP Limited,BSE,
KAYCEEI.BO,Kaycee Industries Ltd.,BSE,
KATWAUD.BO,Shri Keshav Cements and Infra Limited,BSE,
KATRSPG.BO,Katare Spinning Mills Ltd.,BSE,
GKCONS.BO,G.K. Consultants Limited,BSE,
ESKAY.BO,Eskay K'n'IT (India) Limited,BSE,
EKC.NS,Everest Kanto Cylinder Limited,NSI,Diversified Machinery
DAICHI.BO,Dai-Ichi Karkaria Limited,BSE,
ABMKNO.BO,ABM Knowledgeware Limited,BSE,
KRITIIND.BO,Kriti Industries (India) Ltd.,BSE,
KAJARIR.BO,KIC Metaliks Ltd.,BSE,
KSLIND.BO,KSL and Industries Ltd,BSE,
APOWERTOOL.BO,CONSORTEX KARL DOELITZCH (INDI,BSE,
KILBURNC.BO,Kilburn Chemicals Limited,BSE,
KAIRA.BO,Kaira Can Company Limited,BSE,
KSL.NS,Kalyani Steels Limited,NSI,Steel & Iron
KUSHAL.BO,KUSHAL TRADELINK LTD,BSE,
KANELIND.BO,KANEL INDUSTRIES LIMITED,BSE,
KANSAINER.NS,Kansai Nerolac Paints Limited,NSI,Specialty Chemicals
KANDAGIRI.BO,KANDAGIRI SPINNING MILLS LTD.,BSE,
SKUMARSYN.NS,S. Kumars Nationwide Ltd.,NSI,
KICL-EQ.NS,KALYANI INVESTMENT COMPANY LIMI,NSI,
MRF.NS,MRF Limited,NSI,Rubber & Plastics
TATASTEEL.NS,Tata Steel Limited,NSI,Steel & Iron
SPICEJET.BO,SpiceJet Limited,BSE,
RPOWER.BO,Reliance Power Limited,BSE,
RELIANCE.NS,Reliance Industries Limited,NSI,Oil & Gas Refining & Marketing
NOCIL.NS,NOCIL Limited,NSI,Chemicals - Major Diversified
ICIL.NS,Indo Count Industries Limited,NSI,Textile Industrial
WARNER.BO,Warner Multimedia Ltd.,BSE,
WALCHPF.BO,Walchand Peoplefirst Limited,BSE,
TCS.NS,Tata Consultancy Services Limited,NSI,Information Technology Services
TCI.BO,Transport Corp. of India Ltd.,BSE,
SURANAIND.NS,Surana Industries Limited,NSI,Steel & Iron
STANPACK.BO,Stanpacks (India) Limited,BSE,
SASKEN.NS,Sasken Technologies Limited,NSI,Technical & System Software
RENUKA.BO,Shree Renuka Sugars Limited,BSE,
RELINFRA.NS,Reliance Infrastructure Limited,NSI,Electric Utilities
