TICKER,NAME,SERIES,SYMBOL,SLUG
BANSWRAS.NS,Banswara Syntex Limited,EQ,BANSWRAS,banswras
BARBEQUE.NS,Barbeque Nation Hospitality Limited,EQ,BARBEQUE,barbeque
BASF.NS,BASF India Limited,EQ,BASF,basf
BASML.NS,Bannari Amman Spinning Mills Limited,EQ,BASML,basml
BATAINDIA.NS,Bata India Limited,EQ,BATAINDIA,bataindia
BAYERCROP.NS,Bayer Cropscience Limited,EQ,BAYERCROP,bayercrop
BBL.NS,Bharat Bijlee Limited,EQ,BBL,bbl
BBOX.NS,Black Box Limited,EQ,BBOX,bbox
BBTC.NS,Bombay Burmah Trading Corporation Limited,EQ,BBTC,bbtc
BBTCL.NS,B&B Triplewall Containers Limited,EQ,BBTCL,bbtcl
BCG.NS,Brightcom Group Limited,EQ,BCG,bcg
BCLIND.NS,Bcl Industries Limited,EQ,BCLIND,bclind
BCONCEPTS.NS,Brand Concepts Limited,EQ,BCONCEPTS,bconcepts
BCP.NS,B.C. Power Controls Ltd,EQ,BCP,bcp
BDL.NS,Bharat Dynamics Limited,EQ,BDL,bdl
BEARDSELL.NS,Beardsell Limited,EQ,BEARDSELL,beardsell
BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited,EQ,BECTORFOOD,bectorfood
BEDMUTHA.NS,Bedmutha Industries Limited,EQ,BEDMUTHA,bedmutha
BEL.NS,Bharat Electronics Limited,EQ,BEL,bel
BEML.NS,BEML Limited,EQ,BEML,beml
BEPL.NS,Bhansali Engineering Polymers Limited,EQ,BEPL,bepl
BERGEPAINT.NS,Berger Paints (I) Limited,EQ,BERGEPAINT,bergepaint
BESTAGRO.NS,Best Agrolife Limited,EQ,BESTAGRO,bestagro
BFINVEST.NS,BF Investment Limited,EQ,BFINVEST,bfinvest
BFUTILITIE.NS,BF Utilities Limited,EQ,BFUTILITIE,bfutilitie
BGRENERGY.NS,BGR Energy Systems Limited,EQ,BGRENERGY,bgrenergy
BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited,EQ,BHAGCHEM,bhagchem
BHAGERIA.NS,Bhageria Industries Limited,EQ,BHAGERIA,bhageria
BHAGYANGR.NS,Bhagyanagar India Limited,EQ,BHAGYANGR,bhagyangr
BHANDARI.NS,Bhandari Hosiery Exports Limited,EQ,BHANDARI,bhandari
BHARATFORG.NS,Bharat Forge Limited,EQ,BHARATFORG,bharatforg
BHARATGEAR.NS,Bharat Gears Limited,EQ,BHARATGEAR,bharatgear
BHARATRAS.NS,Bharat Rasayan Limited,EQ,BHARATRAS,bharatras
BHARATWIRE.NS,Bharat Wire Ropes Limited,EQ,BHARATWIRE,bharatwire
BHARTIARTL.NS,Bharti Airtel Limited,EQ,BHARTIARTL,bhartiartl
BHEL.NS,Bharat Heavy Electricals Limited,EQ,BHEL,bhel
BIGBLOC.NS,Bigbloc Construction Limited,EQ,BIGBLOC,bigbloc
BIKAJI.NS,Bikaji Foods International Limited,EQ,BIKAJI,bikaji
BIL.NS,Bhartiya International Limited,EQ,BIL,bil
BINANIIND.NS,Binani Industries Limited,EQ,BINANIIND,binaniind
BINDALAGRO.NS,Oswal Chemicals & Fertilizers Limited,EQ,BINDALAGRO,bindalagro
BIOCON.NS,Biocon Limited,EQ,BIOCON,biocon
BIOFILCHEM.NS,Biofil Chemicals & Pharmaceuticals Limited,EQ,BIOFILCHEM,biofilchem
BIRLACABLE.NS,Birla Cable Limited,EQ,BIRLACABLE,birlacable
BIRLACORPN.NS,Birla Corporation Limited,EQ,BIRLACORPN,birlacorpn
BIRLAMONEY.NS,Aditya Birla Money Limited,EQ,BIRLAMONEY,birlamoney
BLAL.NS,BEML Land Assets Limited,BE,BLAL,blal
BLBLIMITED.NS,BLB Limited,EQ,BLBLIMITED,blblimited
BLISSGVS.NS,Bliss GVS Pharma Limited,EQ,BLISSGVS,blissgvs
BLKASHYAP.NS,B. L. Kashyap and Sons Limited,EQ,BLKASHYAP,blkashyap
BLS.NS,BLS International Services Limited,EQ,BLS,bls
BLUECOAST.NS,Blue Coast Hotels Limited,BE,BLUECOAST,bluecoast
BLUEDART.NS,Blue Dart Express Limited,EQ,BLUEDART,bluedart
BLUESTARCO.NS,Blue Star Limited,EQ,BLUESTARCO,bluestarco
BODALCHEM.NS,Bodal Chemicals Limited,EQ,BODALCHEM,bodalchem
BOHRAIND.NS,Bohra Industries Limited,EQ,BOHRAIND,bohraind
BOMDYEING.NS,Bombay Dyeing & Mfg Company Limited,EQ,BOMDYEING,bomdyeing
BOROLTD.NS,Borosil Limited,EQ,BOROLTD,boroltd
BORORENEW.NS,BOROSIL RENEWABLES LIMITED,EQ,BORORENEW,bororenew
BOSCHLTD.NS,Bosch Limited,EQ,BOSCHLTD,boschltd
BPCL.NS,Bharat Petroleum Corporation Limited,EQ,BPCL,bpcl
BPL.NS,BPL Limited,EQ,BPL,bpl
BRIGADE.NS,Brigade Enterprises Limited,EQ,BRIGADE,brigade
BRITANNIA.NS,Britannia Industries Limited,EQ,BRITANNIA,britannia
